Cultivo,Temp min optima,Temp max optima,Temp. óptima (°C) PROM,Lluvias optima,Humedad
Agave,15,25,20,85,65
Aguacate,10,33,"21,5",120,70
Ajo,12,28,20,65,70
Ajonjolí,22,32,27,70,65
Alfalfa,15,28,"21,5",70,70
Amaranto,20,32,26,70,65
Arroz palay,10,35,"22,5",90,75
Avena forrajera en verde,8,25,"16,5",50,60
Avena grano,8,25,"16,5",50,60
Berenjena,15,30,"22,5",80,70
Brócoli,18,30,24,70,70
Cacao,21,32,"26,5",150,80
Café cereza,18,26,22,100,75
Calabacita,18,30,24,80,70
Caña de azúcar,24,37,"30,5",125,82
Cártamo,22,32,27,70,65
Cebada grano,8,25,"16,5",50,60
Cebolla,12,30,21,80,70
Chile verde,18,30,24,80,70
Copra,24,32,28,100,75
Crisantemo,16,28,22,80,70
Durazno,16,28,22,80,70
Elote,20,33,"26,5",75,65
Espárrago,18,30,24,80,70
Frambuesa,12,28,20,120,75
Fresa,16,30,23,100,70
Frijol,18,28,23,70,65
Garbanzo grano,15,28,"21,5",60,65
Gladiola,16,28,22,80,70
Guayaba,15,35,25,120,75
Lechuga,12,25,"18,5",60,70
Limón,18,30,24,90,70
Maguey pulquero,15,25,20,85,65
Maíz forrajero en verde,20,33,"26,5",75,65
Maíz grano,20,33,"26,5",75,65
Mango,24,32,28,100,75
Manzana,15,28,"21,5",70,65
Melón,21,29,25,90,65
Naranja,18,30,24,90,70
Nopalitos,15,35,25,60,60
Nuez,8,28,18,70,65
Papa,8,28,18,65,70
Papaya,24,32,28,140,75
Pepino,18,30,24,80,70
Pera,16,28,22,80,70
Piña,22,30,26,140,75
Plátano,26,30,28,125,80
Rosa,16,28,22,80,70
Sandía,23,28,"25,5",90,65
Sorgo forrajero en verde,18,30,24,45,60
Sorgo grano,18,30,24,45,60
Soya,20,30,25,70,65
Tabaco,22,35,"28,5",100,70
Tomate rojo (jitomate),23,30,"26,5",80,65
Tomate verde,18,30,24,80,70
Toronja (pomelo),18,30,24,90,70
Trigo grano,8,25,"16,5",60,60
Tuna,15,35,25,60,60
Uva,16,28,22,80,70
Zanahoria,12,30,21,60,70
Zarzamora,12,28,20,120,75
