Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,7.1,4.4,0.4,35.5,11.3,38.5,6.2,1.0,0.0,0.2,9.5
2,32.7,9.6,2.1,28.6,0.0,28.4,0.0,3.9,0.0,35.8,0.0
3,90.8,12.7,6.7,0.0,0.4,1.5,0.0,0.0,0.1,0.0,0.0
4,8.4,1.7,0.4,10.6,0.0,4.6,1.9,15.3,1.0,0.0,0.1
5,31.7,6.3,4.2,44.7,2.5,17.3,22.7,6.5,9.6,4.3,32.7
6,202.8,71.0,43.5,226.2,45.7,72.6,124.1,39.2,6.7,106.5,157.8
7,148.0,172.7,169.3,77.7,101.3,162.8,176.6,92.6,75.9,212.7,33.35
8,93.2,193.6,143.8,97.3,123.4,77.3,117.5,123.6,82.7,86.6,33.35
9,83.4,62.0,159.5,123.1,78.1,81.9,185.5,53.5,12.9,136.1,33.35
10,106.6,8.7,21.8,83.3,40.5,4.5,36.6,48.0,67.7,11.8,33.35
11,8.3,30.1,0.1,40.5,33.7,0.0,0.2,6.0,53.9,0.0,33.35
12,23.7,2.1,27.6,1.2,16.2,8.9,1.1,0.2,43.1,1.7,33.35
