Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.6,1.4,3.4,2.9,4.0,4.4,2.7,3.7,2.9,4.4,5.4
2,5.9,3.3,4.2,7.2,5.9,6.2,4.0,4.5,5.8,5.1,6.7
3,7.4,6.4,7.4,7.4,7.4,9.5,7.0,6.1,6.7,7.6,6.6
4,10.8,9.0,7.9,9.3,8.0,10.0,9.0,9.1,10.1,10.5,8.6
5,11.8,12.2,11.1,12.8,11.2,10.9,11.2,12.9,12.1,14.9,12.2
6,14.0,12.9,13.9,14.0,14.5,13.9,13.1,14.3,15.0,16.2,13.9
7,12.9,12.5,13.1,11.9,13.2,13.5,12.9,13.7,14.9,14.8,8.9
8,12.5,13.5,13.3,12.1,13.5,13.1,12.4,13.5,13.9,13.8,8.9
9,12.6,12.1,12.4,12.9,12.2,12.1,12.4,11.8,12.7,14.3,8.9
10,10.6,9.4,9.4,10.9,11.1,7.8,10.0,8.8,10.9,9.7,8.9
11,8.9,7.1,5.3,6.2,8.7,5.8,5.5,6.3,7.9,8.1,8.9
12,5.0,5.1,3.9,3.5,4.6,4.0,4.0,3.8,5.4,5.4,8.9
