Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,26.0,5.6,8.4,0.6,11.1,1.9,12.2,0.3,7.0,1.3,1.2
2,16.8,0.3,18.4,9.1,3.1,8.8,0.2,0.2,3.5,3.5,0.0
3,14.8,8.0,0.5,0.0,6.1,36.9,0.1,0.1,1.0,4.4,0.7
4,8.2,2.6,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.3,0.7
5,2.2,3.1,1.6,0.0,0.6,0.0,0.0,0.0,0.3,0.0,1.1
6,38.8,6.5,1.9,15.3,0.0,0.8,9.4,4.7,1.6,1.7,3.5
7,51.2,23.6,12.1,6.9,6.9,6.6,10.8,22.2,8.0,6.4,1.2
8,36.9,54.3,68.3,19.6,31.9,22.4,53.5,57.4,83.6,16.5,1.2
9,104.6,79.9,59.0,76.6,60.0,17.8,53.7,272.0,12.2,30.0,1.2
10,39.2,2.6,0.6,21.5,45.1,3.6,6.6,1.4,66.0,0.1,1.2
11,16.0,1.3,0.2,0.5,91.1,1.0,3.3,0.5,2.9,0.3,1.2
12,7.1,12.2,3.7,13.0,14.7,3.1,23.7,1.5,1.0,0.0,1.2
