Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,9.6,6.3,8.2,8.4,7.4,7.1,7.2,8.1,7.1,6.6,5.0
2,10.0,8.4,8.8,8.1,6.1,7.7,7.9,8.0,6.6,7.9,7.9
3,11.9,9.3,11.5,9.5,8.5,8.8,7.5,9.5,8.5,8.6,8.7
4,11.7,11.3,12.2,12.1,12.9,11.6,10.9,11.9,10.7,10.1,10.4
5,14.2,13.4,14.7,13.0,13.6,15.6,13.2,14.2,13.7,12.9,13.8
6,18.5,18.5,17.9,16.1,17.2,17.1,17.6,18.7,15.3,17.5,16.7
7,20.1,20.3,20.9,20.8,18.3,19.6,21.6,21.1,20.2,21.0,10.42
8,21.8,20.1,20.2,22.4,20.6,21.7,20.8,22.4,20.7,20.2,10.42
9,21.2,17.4,17.9,19.2,18.7,18.9,20.1,21.3,18.4,17.8,10.42
10,17.9,16.3,13.6,14.6,13.4,15.4,13.9,16.5,15.5,14.0,10.42
11,9.9,12.2,10.9,10.0,11.4,9.3,12.3,9.0,10.5,7.5,10.42
12,5.6,8.3,8.5,7.5,8.2,7.2,8.0,7.3,8.1,6.4,10.42
