Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.4,17.9,18.8,16.4,17.1,19.0,18.9,18.2,19.6,20.2,19.3
2,17.1,17.3,19.9,19.8,20.1,19.6,19.1,19.2,20.1,17.9,20.7
3,20.6,21.9,20.7,20.4,20.3,21.1,21.0,20.3,21.5,22.5,21.4
4,22.8,23.2,22.7,21.4,21.9,23.8,22.8,22.4,22.9,23.8,22.4
5,23.1,24.3,24.1,22.6,24.5,23.6,23.5,23.4,23.8,26.3,25.0
6,23.3,23.8,24.0,23.2,24.1,23.8,23.6,23.2,24.7,25.0,24.5
7,22.9,23.6,23.3,22.8,22.9,23.7,23.4,23.3,24.4,24.6,22.22
8,23.1,23.9,23.7,22.5,23.2,23.6,23.2,23.2,24.1,24.3,22.22
9,22.9,23.5,23.8,22.9,23.1,23.6,23.2,23.1,23.9,24.6,22.22
10,23.0,22.2,22.3,22.4,23.2,22.9,23.2,22.0,23.3,23.0,22.22
11,22.7,20.8,19.4,20.9,20.8,21.6,19.4,21.7,21.7,21.3,22.22
12,21.0,21.2,18.6,18.9,18.5,18.6,19.5,19.9,19.8,19.0,22.22
