Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,90.1,50.4,16.1,105.7,26.7,31.1,52.8,65.0,59.3,52.7,37.9
2,32.1,33.8,6.9,19.2,14.2,13.4,21.1,57.3,30.9,17.8,69.7
3,82.7,33.1,9.1,15.5,34.6,4.1,30.4,52.3,33.1,7.2,14.2
4,26.0,19.3,65.1,120.0,32.7,25.9,21.6,79.2,14.6,4.6,14.6
5,71.1,61.7,49.7,45.8,72.6,207.1,137.5,141.3,58.4,18.9,28.6
6,157.8,244.9,363.6,160.5,250.9,499.1,196.8,180.9,75.4,440.4,189.7
7,78.7,180.9,169.2,164.1,156.8,137.2,143.6,138.1,141.8,143.6,59.12
8,203.5,173.3,202.8,241.5,124.7,184.8,147.7,199.3,210.2,195.1,59.12
9,184.2,202.8,229.8,202.1,182.8,234.2,230.4,187.8,202.0,171.8,59.12
10,197.6,81.7,221.7,160.9,235.3,293.1,138.7,127.2,105.7,200.3,59.12
11,123.6,53.4,33.4,127.2,90.5,99.1,52.4,129.9,133.4,72.4,59.12
12,78.8,41.8,40.1,27.4,81.4,50.3,45.8,65.1,68.0,24.0,59.12
