Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,82.5,33.9,36.8,99.6,39.8,28.4,52.1,74.5,66.2,44.9,48.0
2,31.0,26.6,8.1,20.0,28.5,46.9,17.0,78.3,63.7,16.8,51.3
3,52.9,30.0,23.1,30.1,34.6,21.0,48.7,30.3,38.2,12.3,21.6
4,80.6,28.9,64.0,101.7,14.0,32.4,31.3,84.4,23.5,38.9,55.4
5,126.9,143.8,262.3,165.2,200.4,239.4,230.2,158.4,96.6,64.4,134.8
6,206.9,281.9,409.4,237.8,277.0,409.1,319.2,305.3,207.8,439.3,422.3
7,134.7,177.8,254.3,117.8,142.6,182.5,162.7,196.0,263.7,267.5,122.23
8,196.5,306.7,249.2,257.0,236.5,345.9,299.0,283.0,224.6,270.1,122.23
9,341.1,314.7,401.7,301.0,308.2,373.1,320.1,425.7,250.1,331.3,122.23
10,247.1,128.0,228.8,224.9,359.7,251.8,227.8,188.5,247.9,231.7,122.23
11,150.3,91.7,37.9,118.4,66.5,199.1,57.5,152.2,139.2,91.4,122.23
12,90.6,50.2,18.4,31.7,59.7,38.3,41.6,77.5,80.0,46.0,122.23
