Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,38.2,5.8,12.3,0.1,15.2,6.0,20.6,0.1,8.5,9.5,11.4
2,29.5,0.5,8.1,19.2,13.8,20.2,9.3,3.8,12.9,11.6,0.0
3,54.9,7.6,6.1,1.8,11.5,27.3,0.7,0.2,18.9,3.2,0.8
4,20.4,7.1,3.4,0.9,1.0,3.3,3.0,1.7,1.3,1.3,2.6
5,7.2,11.7,10.4,4.4,3.5,6.2,6.8,0.7,17.7,0.3,6.2
6,83.4,56.8,20.6,45.9,26.0,19.5,61.6,69.6,10.0,38.7,75.8
7,138.5,110.0,153.3,97.1,76.1,82.8,114.2,83.9,37.8,79.8,16.13
8,97.2,190.8,122.1,122.4,99.3,32.4,105.4,205.6,56.3,56.8,16.13
9,74.1,85.9,58.8,110.4,98.5,49.1,46.1,60.6,25.0,37.0,16.13
10,47.2,10.3,14.4,52.0,41.3,0.1,7.7,39.0,24.5,2.1,16.13
11,32.6,6.5,1.7,3.3,69.0,1.5,11.2,1.1,8.4,3.5,16.13
12,7.4,19.3,42.7,33.1,15.2,12.4,24.0,6.3,3.3,0.1,16.13
