Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.3,6.7,0.0,7.9,5.3,11.3,4.7,3.8,0.4,0.7,12.3
2,2.9,0.8,0.0,7.7,5.7,5.3,0.9,1.6,0.1,13.2,11.7
3,19.5,27.8,18.1,12.2,7.2,8.1,2.6,5.2,21.8,0.1,8.4
4,8.3,19.0,12.9,44.5,4.3,21.9,12.5,44.0,10.1,9.0,2.5
5,69.6,51.8,48.9,59.1,21.6,32.8,73.3,19.1,43.2,33.5,64.6
6,74.1,113.0,86.2,127.4,108.1,59.7,153.1,92.3,28.2,105.0,211.6
7,94.1,131.9,101.7,85.9,145.5,103.8,92.1,114.3,118.1,145.6,51.85
8,79.2,128.4,101.3,198.2,87.2,107.8,126.7,114.4,97.3,235.1,51.85
9,114.3,113.7,86.8,120.7,76.1,97.0,120.4,78.6,62.9,159.6,51.85
10,20.2,14.6,31.4,86.8,86.8,20.1,49.7,58.6,37.3,45.5,51.85
11,5.4,45.5,0.6,31.1,17.6,1.5,1.3,11.7,34.2,14.6,51.85
12,4.1,2.7,0.0,4.8,0.1,0.5,0.0,9.5,4.0,3.0,51.85
