Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,7.3,6.3,7.0,4.1,7.2,8.3,7.3,8.5,8.1,9.2,9.0
2,7.7,6.7,8.3,9.6,9.1,10.3,7.1,9.2,8.6,9.2,10.7
3,9.9,9.3,8.9,11.5,10.0,10.8,10.0,11.0,11.4,12.1,12.4
4,12.0,10.6,10.6,10.9,11.4,13.0,10.9,13.3,13.2,13.6,12.4
5,11.7,12.0,12.3,12.7,12.6,12.4,12.3,14.3,13.2,16.1,15.0
6,12.3,11.3,12.2,13.6,12.7,13.0,12.8,13.5,15.5,22.3,14.3
7,11.7,11.3,11.4,11.7,11.6,13.1,12.6,13.9,13.5,13.8,12.3
8,12.0,11.5,12.1,11.3,13.4,13.1,13.0,13.5,13.6,13.7,12.3
9,12.1,11.3,11.6,11.8,13.7,13.1,12.8,13.5,13.0,14.3,12.3
10,11.0,10.0,10.2,11.4,13.5,9.3,12.5,12.4,12.4,11.4,12.3
11,10.7,8.7,7.5,8.9,11.3,8.5,9.3,11.1,10.4,9.8,12.3
12,8.9,8.3,5.0,6.8,8.1,7.9,8.5,8.4,8.7,8.2,12.3
