Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.3,3.8,7.3,3.8,5.9,7.0,5.3,4.7,8.0,5.5,5.2
2,6.3,7.2,9.2,11.0,9.2,7.6,6.5,5.4,8.8,10.3,9.5
3,9.3,12.2,12.6,12.3,11.5,15.0,11.2,9.9,13.3,13.1,13.6
4,14.1,15.0,14.9,14.1,13.8,16.2,15.0,16.6,16.1,17.7,17.0
5,17.2,18.3,17.9,19.5,19.1,19.6,18.9,20.2,19.8,22.8,20.6
6,19.0,20.3,20.8,22.4,21.4,21.0,21.2,22.3,23.2,15.1,23.0
7,19.7,21.8,21.6,21.8,21.6,22.8,21.4,23.1,23.4,22.7,14.82
8,20.0,21.4,21.5,21.7,23.4,21.6,21.5,22.2,23.8,24.0,14.82
9,18.0,19.5,19.3,19.7,21.2,18.1,19.5,19.2,22.2,20.7,14.82
10,16.1,15.7,14.3,15.9,15.6,13.9,16.3,14.4,17.1,17.0,14.82
11,11.3,12.2,10.6,8.4,10.5,11.6,10.7,10.2,10.6,13.2,14.82
12,5.6,8.3,6.7,5.9,6.4,4.6,10.8,7.7,8.0,9.7,14.82
