Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,1.1,85.6,0.0,5.2,5.7,80.1,0.7,1.3,0.0,0.6,14.9
2,129.1,0.8,2.8,2.6,0.1,112.1,0.0,0.7,0.0,34.8,0.1
3,306.1,16.5,1.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0
4,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,25.4,5.5,1.7,19.0,3.5,2.1,2.5,2.4,1.0,0.0,69.5
6,172.6,158.7,197.4,317.3,111.2,84.7,691.7,239.7,137.3,115.1,389.3
7,207.2,252.2,287.4,140.5,310.6,354.8,249.6,294.4,269.3,412.3,78.97
8,220.4,340.7,560.3,298.9,234.1,664.3,705.1,312.2,217.4,389.7,78.97
9,240.9,314.4,528.0,337.0,851.0,339.2,443.7,351.7,170.6,555.7,78.97
10,601.9,62.6,142.7,292.3,251.8,27.0,187.0,272.7,542.1,91.5,78.97
11,14.7,67.1,0.1,198.3,46.8,0.0,0.2,1.8,20.6,2.9,78.97
12,36.7,29.0,7.3,0.6,2.1,0.7,0.2,0.0,13.1,1.5,78.97
