Mes,2015,2016,2017,2020,2021,2022,2023,2024,2025
1,32.6,31.9,32.7,32.6,31.9,32.1,32.0,32.2,31.7
2,30.6,33.8,32.7,31.9,31.3,32.9,32.7,31.8,32.6
3,31.7,32.8,33.7,33.2,32.5,32.2,31.9,32.1,32.3
4,33.1,34.5,32.9,33.5,32.7,32.6,29.3,32.6,32.5
5,34.6,34.9,33.7,33.2,34.1,33.2,34.1,33.5,34.1
6,34.2,35.0,34.0,33.9,33.3,33.3,35.1,36.5,32.9
7,34.1,34.8,34.6,34.1,33.8,33.6,34.6,33.5,32.68
8,34.7,34.3,33.7,33.2,33.1,33.6,34.1,33.9,32.68
9,34.0,34.1,32.8,33.1,32.7,32.5,34.7,33.0,32.68
10,33.9,35.1,34.1,34.3,33.7,32.7,33.0,33.8,32.68
11,33.4,34.0,34.0,34.4,33.6,32.7,33.8,33.0,32.68
12,32.7,33.6,33.1,32.3,32.6,32.2,31.7,32.9,32.68
