Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,4.4,0.5,3.0,1.8,2.4,2.6,1.4,2.1,2.5,2.6,2.4
2,4.8,4.5,3.5,6.5,5.2,4.3,4.2,2.1,4.2,4.6,4.1
3,6.3,6.4,6.8,8.2,6.7,8.9,6.1,4.9,7.3,6.4,6.6
4,9.5,9.3,8.7,9.4,7.8,9.9,9.2,10.1,10.5,10.0,9.9
5,11.7,12.2,11.6,13.3,10.2,12.2,12.2,12.7,12.2,13.9,13.3
6,14.9,14.6,15.3,15.9,15.1,14.7,14.9,15.7,15.7,16.1,17.0
7,14.8,14.9,15.3,15.3,15.1,15.7,15.0,16.2,16.9,15.7,8.88
8,14.6,15.0,15.2,15.0,15.8,14.8,15.0,15.5,16.3,15.9,8.88
9,13.7,14.3,13.8,13.8,14.1,13.3,13.9,13.3,15.1,15.1,8.88
10,10.9,11.1,11.3,10.5,11.2,8.4,11.0,9.2,11.9,10.5,8.88
11,7.4,7.5,5.8,4.1,7.8,5.4,6.5,4.1,7.8,6.7,8.88
12,2.5,3.9,3.6,1.6,2.4,1.1,4.7,3.4,3.8,3.8,8.88
