Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,3.3,2.6,1.8,1.3,3.0,3.1,3.4,3.6,3.1,4.4,4.9
2,3.9,2.7,3.0,4.9,4.7,5.0,3.1,4.2,3.9,4.1,6.0
3,6.1,5.7,5.1,6.2,6.1,6.6,6.3,5.6,6.6,6.4,6.8
4,7.7,7.8,6.5,7.2,7.0,8.9,7.6,8.1,8.2,8.9,7.0
5,8.9,9.8,9.7,8.6,9.1,8.4,9.2,9.0,9.5,11.6,10.7
6,9.9,10.1,9.9,9.9,10.5,9.4,10.0,9.6,9.8,11.4,11.6
7,9.3,10.0,9.7,8.8,9.6,9.8,9.3,10.0,10.2,11.0,7.83
8,9.3,10.0,10.1,9.5,9.5,9.9,9.5,9.8,10.1,10.6,7.83
9,10.1,9.7,9.6,9.7,9.1,9.5,9.6,10.1,9.4,11.4,7.83
10,8.2,7.7,7.9,9.1,9.1,5.4,8.5,8.5,9.2,7.8,7.83
11,7.1,5.6,3.3,5.9,7.4,4.4,4.7,7.1,6.9,5.2,7.83
12,5.3,5.5,2.5,4.1,4.0,4.7,4.6,5.5,5.4,4.7,7.83
