Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,1.8,14.2,0.1,11.5,4.1,7.8,4.1,11.6,0.7,2.1,30.5
2,11.4,5.8,1.1,17.5,5.8,8.0,0.5,3.3,1.1,20.6,19.3
3,61.5,37.4,17.0,6.8,6.7,16.2,9.9,5.0,17.6,0.1,2.7
4,15.9,18.5,14.3,41.7,7.3,29.3,18.3,36.1,18.7,8.8,4.6
5,128.7,76.7,86.6,89.5,33.3,26.6,78.7,39.0,80.2,25.3,110.0
6,128.1,169.8,119.7,241.2,152.0,115.6,190.3,154.1,35.6,160.3,259.1
7,141.0,171.2,174.5,112.6,181.9,184.2,164.1,178.2,190.2,267.3,71.03
8,117.0,200.3,209.5,223.9,138.5,184.5,179.8,173.7,169.3,258.8,71.03
9,168.2,140.4,186.3,172.2,140.1,150.6,213.6,150.5,75.5,232.8,71.03
10,57.3,31.7,53.0,112.6,133.4,29.2,68.5,69.0,110.0,54.6,71.03
11,17.5,45.3,3.3,64.5,33.5,3.5,4.5,23.2,77.5,13.1,71.03
12,10.2,3.5,0.1,4.8,1.0,3.3,1.5,5.6,15.2,3.2,71.03
