Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,4.6,7.4,0.2,3.5,3.3,5.6,4.8,0.7,0.8,0.8,3.7
2,12.1,4.1,1.5,13.8,0.8,20.5,0.2,2.0,0.1,14.8,6.1
3,126.5,25.0,14.2,0.8,0.9,12.1,0.2,0.1,3.8,0.0,0.2
4,16.7,10.0,6.0,12.6,0.3,6.7,3.8,8.3,5.5,0.5,0.1
5,100.4,42.2,17.2,52.1,8.7,27.7,62.0,5.7,23.8,12.2,73.1
6,143.6,104.1,108.3,268.6,95.8,104.5,137.3,53.5,20.1,133.5,177.1
7,142.0,173.0,173.7,70.3,136.4,111.1,148.6,112.3,92.9,214.5,43.38
8,102.2,218.3,131.4,146.3,137.1,109.9,170.3,172.4,139.8,106.5,43.38
9,112.8,61.5,143.7,165.2,91.2,69.9,201.8,73.7,35.0,115.4,43.38
10,64.5,19.4,14.6,65.5,63.2,4.7,47.0,37.3,46.5,6.7,43.38
11,5.5,25.0,0.3,50.4,9.4,1.2,1.8,9.8,27.7,1.2,43.38
12,9.9,1.3,0.4,1.2,6.6,1.7,2.6,4.4,39.3,3.7,43.38
