Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.2,15.9,15.5,14.8,15.9,16.8,16.9,17.5,16.4,16.6,16.7
2,16.9,16.4,15.9,16.6,16.5,17.3,16.6,18.3,17.5,16.9,18.4
3,18.3,17.0,17.7,17.9,18.2,18.7,18.8,17.9,18.3,17.7,18.6
4,20.0,18.9,18.2,19.2,18.2,19.7,19.2,19.9,19.2,19.7,18.9
5,20.6,20.2,20.0,20.4,19.1,19.7,20.4,20.7,20.8,21.4,21.0
6,20.2,19.2,19.6,19.7,19.9,20.6,19.5,20.4,21.3,16.6,19.9
7,19.8,18.5,18.9,19.6,19.1,20.3,20.1,20.6,20.6,20.9,18.92
8,19.9,19.1,18.8,18.9,19.9,20.0,19.8,20.0,20.1,20.2,18.92
9,19.8,18.8,18.5,19.0,19.7,19.8,19.6,19.9,20.3,20.8,18.92
10,19.4,18.7,18.2,18.9,19.7,18.9,19.5,19.9,19.7,19.3,18.92
11,18.9,17.1,16.8,17.5,19.1,18.1,18.1,19.0,18.9,18.7,18.92
12,17.3,16.5,14.5,15.9,17.3,17.2,17.7,16.9,16.8,16.3,18.92
