Mes,2015,2016,2017,2020,2021,2022,2023,2024,2025
1,31.0,30.0,31.3,31.5,31.0,31.4,31.4,31.7,31.3
2,31.6,32.1,32.1,32.4,31.4,32.4,32.8,32.9,32.7
3,32.6,31.8,33.3,33.6,33.4,33.3,33.4,34.4,33.8
4,34.6,34.2,33.9,34.5,34.6,34.5,34.3,35.5,34.4
5,34.2,34.9,34.3,34.2,34.5,34.9,35.1,36.4,34.9
6,32.6,32.2,32.4,33.2,31.3,32.1,35.4,30.8,31.3
7,32.5,31.9,32.1,32.2,32.2,32.3,33.4,32.5,33.07
8,33.1,31.9,31.6,31.9,31.2,32.1,32.7,32.3,33.07
9,31.4,31.3,30.5,31.1,31.1,31.1,32.8,31.7,33.07
10,32.1,32.1,31.5,32.0,31.5,31.5,31.7,31.5,33.07
11,31.8,31.4,31.7,32.2,31.4,31.9,32.4,32.3,33.07
12,31.4,31.9,30.8,31.2,31.8,30.9,31.0,31.4,33.07
