Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.3,22.1,0.2,1.7,1.0,4.0,2.9,5.6,0.1,0.8,43.7
2,3.0,1.0,0.2,2.0,0.4,4.9,0.2,0.6,0.0,10.9,3.7
3,42.1,52.5,2.1,1.4,0.7,2.9,1.3,0.4,1.2,0.0,0.1
4,2.6,9.9,3.2,13.3,0.4,7.8,0.9,11.1,7.0,0.5,1.5
5,111.9,45.4,90.2,60.8,44.4,11.9,64.6,52.3,49.5,8.5,80.4
6,142.0,172.2,223.9,280.3,155.4,133.1,323.5,229.5,97.7,139.2,347.5
7,147.6,185.1,162.6,93.7,182.1,179.4,153.8,217.0,182.6,256.0,79.48
8,149.6,189.8,230.4,256.6,192.5,307.3,345.8,218.3,237.7,226.8,79.48
9,234.2,239.0,369.4,197.1,300.7,226.4,240.5,321.3,131.1,561.2,79.48
10,127.6,36.7,71.7,188.7,189.1,43.2,142.1,104.7,272.2,99.1,79.48
11,31.9,31.1,6.7,58.9,34.4,4.5,2.5,8.6,45.9,7.9,79.48
12,10.5,0.6,0.4,4.5,0.9,2.7,0.4,1.4,5.6,2.2,79.48
