Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,19.4,7.6,3.1,27.1,12.3,34.5,12.6,15.4,5.9,7.8,11.6
2,15.9,2.4,5.0,15.2,7.9,9.8,4.6,12.0,7.1,10.2,16.8
3,93.9,16.8,20.7,14.8,11.3,6.9,10.0,3.3,20.6,5.4,3.4
4,43.6,33.2,16.5,48.6,6.8,39.3,27.1,29.2,31.3,12.0,3.8
5,67.6,49.4,51.2,29.5,14.2,46.0,53.1,9.9,61.4,10.2,70.9
6,85.1,130.7,69.2,111.5,108.1,64.6,131.2,78.6,11.5,164.3,202.3
7,70.3,73.5,95.1,40.9,56.8,60.9,62.0,47.1,54.7,162.3,51.47
8,67.4,134.2,88.9,79.6,47.3,80.8,135.7,50.2,71.2,68.0,51.47
9,97.5,116.6,182.1,72.4,57.2,111.0,119.1,119.9,14.4,102.1,51.47
10,59.7,58.3,109.6,93.3,91.0,21.4,52.0,43.9,70.9,40.3,51.47
11,51.8,53.2,4.9,35.2,15.8,22.0,21.4,27.0,33.3,20.8,51.47
12,9.3,18.5,6.9,6.6,10.0,4.4,3.6,11.3,31.1,24.2,51.47
