Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.0,7.2,7.7,6.4,8.1,8.8,8.1,8.9,7.8,8.6,8.3
2,10.2,8.3,8.1,10.2,9.8,10.2,7.9,9.3,9.2,9.2,9.7
3,11.7,10.3,10.9,11.7,11.3,12.2,10.9,9.9,11.2,9.8,10.3
4,13.9,12.2,11.3,13.1,11.3,13.5,11.8,12.9,13.9,12.9,11.3
5,15.6,14.7,14.4,15.2,14.0,13.5,13.6,14.7,15.6,15.5,14.8
6,16.3,14.9,15.9,15.8,15.7,14.9,14.9,15.1,16.6,16.3,15.1
7,15.7,14.1,14.8,14.8,14.8,14.7,14.7,14.7,15.7,15.2,11.58
8,14.8,15.1,15.3,14.8,14.7,14.7,14.8,14.4,15.2,15.0,11.58
9,15.5,14.4,14.7,14.9,14.3,14.2,14.7,14.4,14.1,15.3,11.58
10,14.3,13.3,12.9,14.2,14.2,11.5,14.0,13.0,13.9,12.2,11.58
11,12.9,10.9,9.2,10.4,13.0,10.3,10.1,11.9,11.8,10.7,11.58
12,10.6,9.3,7.1,7.8,9.5,9.0,8.5,8.4,10.0,8.3,11.58
