Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.1,10.8,10.0,9.6,10.1,10.7,11.0,11.1,10.8,12.1,11.7
2,11.6,11.3,12.0,12.9,12.5,12.6,10.9,11.8,12.3,12.5,14.3
3,14.0,13.9,14.6,15.4,15.5,15.7,14.2,13.4,14.4,14.5,15.3
4,16.9,16.1,15.5,16.3,15.5,17.1,15.3,15.9,16.2,17.1,16.1
5,17.2,17.7,17.6,16.5,16.9,16.7,16.7,17.5,17.6,19.7,18.5
6,16.8,16.6,17.0,16.6,17.4,17.7,16.9,17.0,19.1,19.2,17.8
7,16.0,16.5,16.2,15.4,16.1,16.3,16.0,16.9,17.4,17.5,15.62
8,16.0,16.6,16.8,15.8,16.0,16.4,16.3,16.4,17.3,17.3,15.62
9,16.2,16.3,17.0,15.7,16.1,16.4,16.4,16.5,17.1,17.7,15.62
10,15.4,15.4,15.0,15.6,15.9,13.3,15.6,15.8,16.7,15.2,15.62
11,14.8,13.3,12.1,13.6,14.5,12.4,11.7,14.4,14.8,13.1,15.62
12,12.4,12.5,9.8,10.8,11.2,11.7,11.3,11.0,12.5,10.6,15.62
