Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,42.2,0.8,0.5,3.5,1.4,60.4,0.3,2.3,0.1,0.1,14.1
2,82.9,0.6,11.0,4.1,0.5,61.7,0.2,0.1,0.1,37.0,0.1
3,88.3,29.5,1.5,0.0,0.0,0.1,0.0,0.7,0.4,0.0,0.0
4,2.9,1.1,0.1,0.2,0.0,0.8,0.5,0.5,3.6,0.0,0.0
5,8.8,4.2,1.1,7.2,0.2,9.3,1.4,1.6,3.5,0.0,17.6
6,145.1,161.5,62.6,171.8,40.8,53.5,235.5,179.0,36.4,169.4,262.3
7,202.9,342.9,279.1,219.4,262.9,303.0,328.5,315.4,262.3,289.7,49.02
8,232.5,308.1,346.5,367.8,366.6,349.0,408.4,320.1,292.2,266.6,49.02
9,360.2,276.5,392.7,379.4,299.0,251.2,322.6,230.0,203.7,186.7,49.02
10,176.6,41.0,102.4,168.6,189.8,30.3,95.0,183.2,191.1,51.9,49.02
11,34.4,15.2,0.3,30.5,49.6,0.0,0.9,0.3,22.4,6.6,49.02
12,66.2,43.0,30.6,3.9,14.6,21.4,0.1,0.1,6.2,1.3,49.02
