Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,6.2,5.4,8.0,4.4,6.8,8.9,6.2,5.5,9.4,6.9,6.6
2,7.7,8.0,10.8,11.7,10.2,8.3,7.3,6.2,9.6,10.2,10.8
3,11.1,13.1,14.4,13.5,12.6,15.3,12.5,9.5,14.2,13.7,13.5
4,16.6,16.3,15.3,14.5,13.8,17.6,16.1,16.9,17.7,17.3,16.5
5,19.2,19.0,18.4,19.1,19.7,18.9,18.7,20.1,19.4,22.7,20.3
6,20.6,20.1,20.3,20.7,21.1,20.2,20.0,20.5,21.9,22.8,21.3
7,20.9,21.7,20.5,20.1,20.4,21.4,20.2,21.4,22.3,21.5,14.83
8,20.9,21.2,21.1,20.7,21.9,20.8,20.5,21.5,22.2,21.7,14.83
9,19.9,20.3,19.3,20.4,20.3,18.6,19.5,19.0,21.2,21.2,14.83
10,17.2,16.9,14.4,16.5,16.5,13.7,16.6,15.0,18.2,16.0,14.83
11,13.3,14.0,11.7,9.5,11.3,12.8,11.6,11.7,11.6,15.0,14.83
12,8.9,9.6,7.5,7.0,8.5,5.7,10.8,8.6,9.8,11.4,14.83
