Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,19.2,8.8,6.1,25.0,14.9,29.5,26.0,20.0,8.0,17.0,24.2
2,5.2,9.1,5.7,13.6,4.7,17.0,8.8,13.3,5.1,11.4,12.5
3,30.4,45.3,16.4,20.5,9.6,2.8,5.0,5.1,12.9,9.0,2.9
4,32.1,19.9,28.0,49.3,8.5,25.9,16.9,20.5,34.3,17.5,10.4
5,69.5,35.7,156.8,73.2,96.9,63.5,122.8,100.2,63.4,18.5,102.7
6,173.2,187.6,355.6,231.7,155.8,148.6,318.9,230.1,121.0,258.7,325.5
7,158.0,164.2,183.0,86.2,145.2,169.1,132.1,141.2,164.5,236.1,79.7
8,122.5,212.3,207.0,208.4,162.7,303.2,231.1,177.7,192.9,199.2,79.7
9,176.2,203.2,320.0,178.6,227.3,238.2,249.7,316.1,89.4,356.9,79.7
10,115.7,44.4,141.8,257.9,209.9,66.0,94.6,118.6,119.5,219.5,79.7
11,78.9,27.8,13.3,44.1,47.7,51.7,25.0,34.0,70.3,26.0,79.7
12,21.4,34.7,7.0,28.6,6.3,10.1,5.9,17.5,36.4,9.0,79.7
