Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,13.0,14.1,12.8,10.8,13.6,14.8,13.4,13.6,13.5,14.4,13.8
2,13.9,13.5,14.2,13.2,16.1,15.1,13.4,14.0,14.9,13.6,16.1
3,16.0,17.0,15.7,15.4,15.9,16.4,15.4,15.4,16.6,16.4,16.6
4,19.1,18.8,16.6,16.0,17.2,18.8,17.2,17.1,19.3,18.1,17.3
5,19.6,19.7,18.3,17.7,18.6,18.4,18.5,18.7,19.8,20.3,19.4
6,19.4,19.6,18.6,18.2,19.4,18.5,18.4,18.3,19.5,20.1,19.5
7,19.2,19.2,17.9,16.9,17.6,18.3,18.4,18.5,19.4,19.1,17.12
8,19.5,19.2,17.8,17.1,18.2,18.2,18.4,18.4,19.1,18.9,17.12
9,19.5,18.8,18.2,18.0,18.0,18.4,18.1,18.4,19.4,19.2,17.12
10,18.3,18.1,17.0,18.5,17.5,16.4,17.7,17.0,18.8,17.4,17.12
11,18.2,16.5,14.1,16.5,15.9,15.6,14.8,16.2,16.2,15.3,17.12
12,15.0,15.9,12.1,13.8,13.4,13.1,13.4,13.4,13.4,13.4,17.12
