Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,6.3,7.3,7.2,5.5,6.9,7.8,7.9,7.5,7.6,8.7,7.6
2,6.9,7.0,8.2,9.1,9.4,8.9,7.7,7.6,8.2,8.2,9.6
3,9.7,10.4,9.9,10.9,10.3,11.1,10.0,9.2,10.9,11.3,10.9
4,12.0,11.9,11.4,11.6,11.4,13.9,12.2,12.2,12.7,13.0,11.1
5,12.5,13.7,13.8,12.8,13.5,13.3,13.1,13.2,13.5,15.9,14.4
6,13.1,13.2,13.7,13.5,13.7,13.5,13.7,13.1,14.2,14.8,14.5
7,12.4,12.3,12.8,12.0,12.4,13.3,12.7,12.9,13.6,14.1,11.35
8,13.0,12.8,13.2,12.6,12.7,13.5,12.6,13.0,13.8,13.4,11.35
9,13.2,12.5,13.3,12.9,12.6,13.4,13.0,13.1,13.0,14.2,11.35
10,11.9,11.2,11.6,12.2,12.4,10.3,11.9,11.7,13.0,11.6,11.35
11,11.4,9.6,8.6,9.6,10.5,9.4,8.3,10.4,10.5,9.2,11.35
12,9.0,9.1,6.2,7.3,7.7,7.5,7.7,7.6,8.5,7.4,11.35
