Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,30.6,27.6,4.4,32.4,6.8,25.9,33.0,24.3,9.6,15.2,27.0
2,10.9,5.6,8.0,14.3,9.1,12.8,7.2,12.6,5.8,16.3,31.6
3,92.8,54.2,32.3,29.7,11.4,9.6,14.1,10.3,22.5,8.3,5.5
4,45.6,53.9,37.4,84.6,8.0,41.3,31.5,38.3,45.4,18.4,11.3
5,124.2,69.5,130.5,72.1,51.7,68.5,147.5,27.0,90.7,29.7,163.3
6,164.6,225.8,217.0,260.1,223.2,171.9,243.7,152.6,54.9,256.9,285.1
7,132.7,174.9,204.3,76.9,164.5,172.2,135.7,129.7,160.0,252.9,87.3
8,132.9,218.5,311.3,238.8,150.6,239.0,231.7,194.7,224.3,179.2,87.3
9,236.0,200.0,322.5,173.1,182.7,285.1,265.0,220.5,85.4,239.2,87.3
10,113.9,81.2,114.8,167.3,194.1,40.5,101.2,82.1,131.1,127.7,87.3
11,89.3,48.8,12.0,84.8,29.1,29.6,36.5,32.0,67.3,27.7,87.3
12,11.7,35.9,7.9,13.6,9.4,7.9,5.4,15.3,35.7,19.7,87.3
