Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,8.1,6.9,7.5,5.7,8.4,7.8,8.4,8.1,7.4,8.7,8.4
2,8.9,7.1,9.1,10.7,10.3,10.0,8.1,8.3,8.7,9.2,10.5
3,10.8,10.8,11.1,12.1,11.8,13.1,11.4,10.4,12.4,12.3,11.7
4,14.1,13.5,12.8,13.8,13.5,15.5,14.0,13.8,14.7,14.6,12.7
5,15.2,16.7,16.7,15.7,16.9,15.7,15.5,15.9,15.8,19.2,16.9
6,15.5,15.8,16.3,15.6,16.6,15.7,15.9,15.7,17.2,17.9,17.0
7,15.0,15.5,15.5,14.8,14.8,15.8,15.6,15.2,16.7,16.6,12.87
8,14.7,15.4,15.6,15.5,15.5,15.8,15.1,15.5,15.7,16.0,12.87
9,15.4,15.1,14.8,15.5,14.9,14.8,15.4,14.7,14.9,16.7,12.87
10,13.6,13.1,12.9,14.7,14.2,10.9,13.7,12.6,14.0,12.4,12.87
11,12.6,11.1,8.8,10.4,12.2,10.3,9.1,11.6,10.8,11.2,12.87
12,9.3,10.8,6.9,7.7,7.8,7.5,8.2,8.5,8.1,9.2,12.87
