Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,9.0,5.8,0.7,9.2,7.5,23.7,3.8,3.8,3.2,3.1,3.4
2,14.9,3.3,2.0,10.0,2.3,12.5,1.2,5.8,2.4,9.5,8.2
3,110.1,28.2,20.9,2.8,4.6,19.3,1.6,0.7,8.2,1.4,0.4
4,28.3,26.0,17.7,24.1,2.7,17.2,10.5,19.1,12.3,4.5,0.4
5,94.1,71.7,29.6,39.5,11.9,34.4,62.9,4.7,46.3,13.6,73.9
6,128.9,132.1,83.2,161.8,104.0,66.4,125.2,47.8,11.6,136.0,163.2
7,96.9,131.1,107.9,31.4,57.3,83.3,84.4,57.1,66.4,165.1,41.58
8,85.0,207.0,92.2,71.7,57.2,58.6,131.3,67.1,71.8,55.7,41.58
9,96.3,69.3,168.0,110.2,66.0,70.3,158.6,98.3,16.1,88.3,41.58
10,60.5,38.8,67.4,58.6,78.1,13.4,58.9,40.3,52.4,11.9,41.58
11,25.9,30.3,1.3,31.1,9.7,6.6,7.7,22.4,17.6,3.1,41.58
12,6.9,6.5,1.8,3.8,10.2,1.3,2.4,7.7,23.8,9.2,41.58
