Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,19.5,19.5,20.8,18.7,18.7,20.3,20.2,19.1,20.4,21.3,19.8
2,18.7,19.3,21.7,22.1,21.9,20.7,20.4,20.2,20.6,19.3,21.4
3,22.8,22.9,21.6,21.8,21.5,21.3,21.8,21.5,21.8,23.6,21.5
4,24.5,23.9,23.9,22.7,23.0,24.8,23.6,23.0,22.1,23.6,22.3
5,24.7,25.2,24.9,24.1,25.5,24.8,24.8,24.1,23.9,26.5,25.5
6,24.6,25.4,25.7,25.4,25.8,24.9,25.1,23.9,24.8,25.7,25.1
7,25.2,25.2,25.5,25.6,25.1,24.9,25.1,24.4,25.6,25.5,22.6
8,25.2,25.6,26.1,25.1,25.6,25.0,24.9,24.1,24.8,25.1,22.6
9,25.2,25.6,25.2,24.5,24.6,24.9,24.9,24.2,24.3,25.4,22.6
10,23.9,23.5,23.5,23.8,24.3,24.2,24.3,22.7,24.1,23.7,22.6
11,23.8,21.9,20.8,22.1,21.6,22.9,21.0,22.3,22.6,22.1,22.6
12,23.5,22.8,19.9,20.1,19.6,19.8,20.5,20.6,20.6,19.9,22.6
