Mes,2015,2016,2017,2020,2021,2022,2023,2024,2025
1,29.5,29.9,31.0,30.4,29.1,29.0,30.1,30.3,29.3
2,30.0,30.2,32.3,31.3,30.5,30.3,30.8,29.6,30.7
3,32.0,32.6,32.2,32.2,31.3,32.0,32.0,32.8,32.1
4,33.5,34.1,33.1,34.4,33.4,32.8,33.1,33.0,32.7
5,34.0,35.9,34.8,33.8,33.7,33.8,34.0,35.0,34.4
6,32.9,34.7,34.4,33.2,32.9,32.7,34.5,33.8,33.7
7,34.6,31.0,35.3,34.3,33.7,33.6,34.4,33.6,32.15
8,35.0,34.9,35.2,34.2,33.7,33.3,34.7,34.0,32.15
9,34.6,35.0,35.0,34.5,33.3,32.6,34.4,34.0,32.15
10,33.2,34.2,32.4,32.6,32.8,32.2,33.3,32.1,32.15
11,32.0,32.1,31.5,31.1,30.3,31.5,31.1,31.3,32.15
12,31.5,32.2,30.7,29.3,30.6,29.8,29.2,29.3,32.15
