Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,7.2,8.6,12.5,9.2,12.5,12.1,11.7,10.2,11.0,11.4,9.7
2,8.2,9.3,13.3,15.5,14.2,12.9,11.5,10.4,11.2,12.3,12.5
3,12.7,14.2,16.0,16.6,15.7,17.2,15.3,12.5,15.2,16.9,13.7
4,16.9,17.0,17.9,17.4,16.8,20.3,18.2,18.4,17.7,18.6,15.8
5,17.2,19.9,20.9,20.5,22.6,20.6,19.9,20.9,18.9,23.6,19.6
6,17.9,19.4,21.7,21.7,22.5,21.3,20.1,20.3,21.3,24.1,19.7
7,17.4,20.0,21.0,21.3,21.3,21.7,20.0,20.1,21.0,20.3,15.17
8,17.6,20.0,21.6,21.2,21.7,21.3,19.8,20.0,20.6,19.7,15.17
9,18.7,19.4,20.2,21.4,20.6,20.0,19.5,18.5,20.4,19.8,15.17
10,17.7,17.4,17.0,19.0,18.6,16.5,17.7,15.7,17.6,16.1,15.17
11,16.1,14.4,14.3,14.1,15.3,15.6,13.6,14.2,13.8,15.3,15.17
12,13.0,13.3,10.9,11.6,12.4,10.3,12.8,11.4,11.9,12.8,15.17
