Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.6,11.5,1.7,19.5,14.2,29.0,9.4,5.6,2.7,4.9,11.8
2,21.2,6.8,3.6,20.8,3.4,6.0,3.0,10.3,2.8,23.0,3.6
3,99.6,24.9,28.1,7.3,13.7,8.6,2.9,0.6,7.2,3.2,1.9
4,37.3,29.7,25.2,41.6,2.2,28.1,13.5,26.6,34.4,7.5,1.4
5,108.5,63.3,40.9,47.4,29.3,47.1,55.0,9.2,71.1,7.8,59.2
6,129.5,144.5,62.5,131.6,124.9,65.4,116.4,64.6,11.7,175.9,187.6
7,73.7,72.0,118.1,25.1,34.5,96.2,123.4,33.9,45.6,236.1,44.25
8,79.1,139.3,96.3,67.0,59.3,56.8,103.4,70.7,44.6,43.8,44.25
9,91.7,97.1,145.0,164.1,86.6,81.3,114.0,138.3,16.8,91.2,44.25
10,88.1,41.4,85.8,74.6,72.3,9.6,58.5,34.2,65.5,24.6,44.25
11,34.8,42.9,1.4,30.9,24.5,15.6,11.9,29.8,67.4,4.0,44.25
12,7.1,11.8,9.1,5.5,16.1,2.8,3.8,6.6,32.2,24.7,44.25
