Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,29.5,1.5,3.8,0.4,11.3,21.4,14.9,0.7,7.8,0.9,12.8
2,33.3,0.5,30.2,14.7,1.2,54.9,0.6,3.4,3.3,16.4,0.0
3,35.0,11.6,3.6,0.1,4.8,3.0,0.0,0.4,0.6,0.9,0.0
4,13.1,1.5,0.5,0.1,0.0,1.7,0.8,0.9,1.1,0.2,0.0
5,4.9,5.3,0.7,0.6,0.3,2.3,3.2,0.0,1.0,0.0,1.5
6,81.2,54.0,12.5,98.3,12.0,14.9,107.3,95.5,5.6,40.3,89.5
7,201.3,231.2,169.5,148.5,150.3,221.8,184.0,200.3,186.7,150.2,17.3
8,255.5,229.7,248.3,291.1,339.6,162.3,391.7,339.3,191.2,209.9,17.3
9,213.2,151.1,162.9,320.4,199.3,150.6,141.9,184.1,80.5,117.3,17.3
10,116.1,19.5,49.0,70.5,39.4,6.4,71.3,30.9,240.8,18.3,17.3
11,25.0,4.8,0.1,5.6,159.5,1.9,4.2,0.0,13.5,1.5,17.3
12,40.5,19.7,17.6,51.1,10.6,12.3,33.1,0.4,1.6,1.0,17.3
