Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,13.0,9.2,10.9,10.8,11.5,11.4,9.7,12.1,10.5,10.9,9.9
2,14.5,12.4,11.4,14.1,12.0,12.0,11.1,10.2,10.7,11.7,10.3
3,14.8,13.6,13.6,12.9,12.7,14.2,10.7,10.5,12.1,11.9,11.2
4,16.6,14.9,14.8,14.9,14.5,14.7,14.6,15.4,14.2,14.2,15.0
5,17.8,18.7,17.9,18.8,16.6,18.3,18.6,18.4,18.0,18.0,18.3
6,24.2,23.6,22.5,23.6,22.3,23.5,23.8,23.7,22.4,22.4,24.8
7,24.3,23.9,24.2,24.3,24.4,24.5,24.2,24.4,25.5,25.3,14.92
8,24.0,23.8,24.3,23.6,24.3,25.0,24.3,23.8,24.9,24.8,14.92
9,24.5,23.3,23.2,23.4,23.4,24.2,23.9,23.8,25.5,24.1,14.92
10,21.8,21.8,22.0,21.5,21.8,22.3,21.7,20.4,22.2,22.7,14.92
11,16.3,16.7,16.8,15.2,18.5,16.5,17.0,14.0,17.8,14.7,14.92
12,12.2,12.4,13.9,12.0,13.1,11.4,12.9,11.5,13.0,11.7,14.92
