Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,7.8,4.0,5.7,6.8,5.6,5.7,4.8,6.4,4.1,5.2,3.5
2,10.4,7.3,8.2,8.0,6.0,6.8,6.1,4.6,5.2,7.5,6.6
3,11.8,8.9,10.4,9.3,8.5,9.6,6.9,6.5,7.9,8.3,7.8
4,12.7,11.1,11.9,12.2,10.7,10.9,11.8,11.3,9.1,10.4,10.7
5,14.2,13.9,14.3,14.8,12.0,15.5,14.6,14.3,13.1,13.5,14.2
6,21.6,21.2,20.7,21.1,18.5,20.7,21.6,21.8,18.2,21.3,21.6
7,23.4,23.0,22.7,23.3,23.5,24.7,24.4,24.1,25.3,25.0,10.73
8,23.8,21.8,22.5,22.6,24.1,25.1,24.0,23.4,24.4,24.5,10.73
9,22.6,19.6,19.7,21.8,21.6,22.2,22.1,22.0,22.0,21.6,10.73
10,17.4,16.1,16.7,16.2,15.2,16.7,14.6,15.1,17.8,17.9,10.73
11,8.8,10.1,11.8,8.5,13.0,10.4,10.9,7.0,12.1,7.8,10.73
12,5.7,7.2,8.1,6.0,7.1,5.0,7.7,6.0,6.5,5.7,10.73
