Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,54.3,24.2,41.6,1.6,23.8,9.2,42.2,0.7,19.1,24.7,2.5
2,18.5,2.0,31.3,34.3,36.2,25.6,1.5,2.7,25.7,23.5,0.0
3,40.9,14.2,0.5,0.9,35.1,82.1,2.9,1.0,7.9,16.7,2.5
4,17.7,3.3,0.5,0.1,0.8,2.5,0.3,0.1,0.1,5.7,0.3
5,2.8,0.9,4.8,0.3,4.5,7.3,0.1,0.0,2.1,0.0,0.6
6,75.8,40.9,12.5,43.1,0.9,12.0,34.0,72.0,4.6,33.8,34.5
7,131.2,139.1,182.9,120.1,97.2,93.5,142.5,138.1,62.2,94.9,6.73
8,118.7,94.8,93.9,147.8,122.8,74.8,142.6,237.3,87.9,94.9,6.73
9,116.3,78.1,39.4,109.0,129.5,17.8,75.7,75.6,18.3,11.8,6.73
10,33.7,1.0,4.3,81.8,17.0,0.2,1.3,15.9,17.8,1.9,6.73
11,26.6,0.4,2.5,1.0,135.0,1.8,7.4,0.6,1.5,2.5,6.73
12,7.0,25.5,36.7,25.9,45.9,16.4,52.3,14.1,14.5,0.1,6.73
