Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,294.2,116.3,84.3,323.9,126.7,75.3,150.0,177.6,120.7,98.4,113.4
2,79.0,80.9,32.4,58.3,82.4,137.8,42.9,225.9,158.5,33.4,122.4
3,156.3,75.1,61.1,49.3,91.7,18.8,66.7,65.6,116.5,17.7,25.1
4,86.2,30.6,97.6,109.5,19.2,36.3,28.0,72.3,19.6,14.3,34.3
5,80.9,84.0,143.2,59.5,76.5,281.7,168.9,110.6,48.1,44.4,48.9
6,237.0,209.7,285.5,129.9,280.4,385.7,249.7,299.5,127.4,330.8,218.7
7,92.2,152.1,157.5,109.5,120.4,92.9,112.4,100.0,186.9,163.7,93.8
8,193.5,260.3,207.3,195.7,100.9,303.1,148.4,156.7,183.4,219.5,93.8
9,289.3,301.1,377.5,218.1,233.6,461.3,320.7,462.1,176.2,271.6,93.8
10,361.2,193.5,414.0,253.7,394.5,550.4,326.0,316.5,216.9,379.7,93.8
11,274.1,161.4,98.2,358.8,245.4,501.3,138.0,283.8,329.9,94.2,93.8
12,282.6,84.8,55.4,99.4,144.4,173.3,84.4,181.3,136.7,92.8,93.8
