Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.8,18.8,19.1,17.4,18.8,20.3,20.0,19.4,20.3,20.7,20.2
2,18.5,18.6,20.2,20.7,20.7,20.6,19.7,19.9,20.5,19.0,21.1
3,21.0,22.1,21.0,21.9,20.7,21.7,21.8,21.2,22.5,23.3,22.0
4,24.1,23.8,22.9,22.7,22.2,24.7,23.9,23.2,22.9,24.2,22.5
5,23.8,24.8,24.1,23.8,25.1,24.6,24.0,24.5,24.3,26.5,24.9
6,23.6,23.7,23.9,23.6,24.5,24.3,24.1,23.6,25.2,25.2,24.3
7,23.7,23.8,23.7,23.4,23.6,24.6,24.1,24.0,24.2,24.3,22.5
8,23.8,23.9,23.8,23.1,24.2,24.2,23.9,23.8,24.0,24.2,22.5
9,23.8,23.3,23.9,23.5,23.8,24.0,23.9,23.5,24.1,24.7,22.5
10,23.4,22.7,22.6,23.3,23.6,23.2,23.7,23.1,23.8,23.1,22.5
11,23.2,21.1,20.7,21.6,21.4,22.1,20.5,22.7,21.9,22.0,22.5
12,22.1,21.3,19.3,19.4,19.7,19.4,20.8,21.0,20.6,19.8,22.5
