Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.6,12.6,14.1,11.2,13.3,14.1,13.8,13.1,14.2,14.3,13.4
2,12.7,12.9,15.1,15.3,15.6,14.3,14.0,12.7,14.0,13.9,15.3
3,15.0,16.6,16.3,16.7,16.0,17.5,16.2,14.8,17.2,18.0,16.3
4,19.4,18.6,18.0,17.3,16.8,20.7,18.6,18.4,19.0,19.2,16.9
5,20.0,20.5,20.0,19.3,20.6,20.2,20.0,20.3,20.3,23.0,20.2
6,19.4,19.9,20.1,20.2,20.4,20.0,20.2,19.4,21.5,21.7,20.0
7,19.4,19.2,19.0,19.4,19.1,20.4,19.8,19.5,20.5,20.2,17.02
8,19.6,19.8,19.6,19.1,19.6,19.8,19.6,19.7,20.5,20.4,17.02
9,20.0,19.5,19.1,19.4,19.3,19.8,19.7,19.4,19.9,21.2,17.02
10,18.5,18.2,17.5,18.3,18.7,17.3,18.9,17.7,18.9,18.8,17.02
11,17.5,16.5,15.3,16.0,15.7,16.0,15.2,16.6,16.0,16.8,17.02
12,16.3,16.0,12.9,13.4,13.7,13.0,15.2,14.2,14.5,15.0,17.02
