Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.0,16.6,17.1,15.6,15.9,17.4,17.7,17.0,18.2,19.1,18.2
2,16.2,15.5,18.1,18.2,18.5,18.2,17.8,18.3,18.9,16.0,19.8
3,19.6,20.1,18.4,18.6,18.6,19.2,19.7,19.1,20.3,22.0,20.0
4,21.6,20.9,21.0,20.0,20.5,23.0,21.8,21.3,21.5,22.1,20.6
5,21.9,22.3,22.2,21.1,23.2,22.8,23.1,22.4,22.7,25.3,24.1
6,22.3,22.4,22.6,21.9,23.8,23.2,23.3,22.8,23.8,24.7,23.9
7,22.0,21.8,21.9,21.9,22.3,23.1,23.3,22.8,24.5,24.2,21.1
8,22.0,22.3,22.3,21.8,22.8,23.3,23.2,22.6,24.0,23.8,21.1
9,22.3,21.9,22.3,22.0,22.8,23.1,23.0,22.5,23.6,24.2,21.1
10,21.6,20.4,20.8,21.7,22.7,22.4,22.2,20.9,22.8,22.4,21.1
11,21.2,18.6,17.6,19.5,19.7,21.1,18.7,20.7,21.3,20.8,21.1
12,20.2,19.6,16.8,17.3,17.2,17.6,18.6,18.7,19.0,18.0,21.1
