Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,46.9,32.3,19.5,55.2,48.4,29.5,45.9,61.1,69.0,60.9,30.2
2,43.5,16.5,2.1,5.8,42.7,8.0,55.1,76.0,23.0,17.7,50.7
3,32.5,47.6,7.5,15.1,19.0,4.1,23.0,39.9,32.5,21.5,16.0
4,11.1,23.7,51.7,57.1,21.5,23.4,47.6,74.4,13.7,17.0,19.6
5,31.9,50.0,48.4,118.8,68.7,194.8,118.8,68.7,62.1,1.3,60.8
6,137.5,169.7,229.9,170.0,148.9,551.9,230.9,151.5,57.6,438.2,146.8
7,72.6,103.9,141.7,97.3,127.2,121.8,118.2,140.1,121.0,151.7,54.02
8,158.3,159.0,160.3,159.2,102.1,144.9,178.5,208.8,159.5,190.8,54.02
9,172.8,166.8,228.1,137.3,153.5,166.5,181.4,139.4,150.6,230.3,54.02
10,117.1,45.3,154.8,87.0,141.2,402.7,74.1,66.3,69.3,250.7,54.02
11,129.9,19.5,37.9,67.4,95.5,103.3,57.0,74.8,87.5,67.0,54.02
12,24.3,50.8,38.7,28.5,65.5,51.6,42.2,53.8,65.4,30.0,54.02
