Mes,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,19.5,4.5,0.4,24.3,8.9,27.4,1.5,0.5,0.2,0.6,10.5
2,48.0,6.9,1.3,22.8,0.4,19.6,0.0,1.0,0.0,37.6,0.0
3,79.3,17.6,18.8,0.2,6.3,2.3,0.0,0.0,0.0,0.0,0.1
4,12.8,3.8,2.6,6.9,0.3,2.7,2.0,10.3,3.4,0.7,1.1
5,28.8,18.2,10.7,27.4,6.7,13.3,17.0,4.3,13.5,4.4,26.9
6,167.5,72.0,30.7,126.4,49.3,56.7,98.0,46.8,7.7,91.1,89.8
7,99.8,119.1,134.1,55.6,83.1,153.7,148.3,80.1,77.3,156.6,21.4
8,71.0,145.7,113.5,82.6,86.3,51.1,108.5,120.0,73.0,63.7,21.4
9,89.3,77.8,111.3,179.4,71.2,68.5,117.4,61.5,30.3,77.9,21.4
10,92.4,9.2,16.3,60.1,34.8,3.7,35.5,35.9,80.1,10.5,21.4
11,16.4,25.1,0.3,23.8,95.5,0.0,1.5,4.3,66.4,0.2,21.4
12,16.7,10.4,27.2,5.0,18.2,7.2,3.2,0.0,21.9,7.7,21.4
