MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,43.0,20.7,7.2,27.4,6.8,11.6,134.2,18.7,8.3,74.8,17.6
2,5.6,11.2,7.6,25.1,10.0,18.2,5.1,7.9,10.3,4.2,9.1
3,61.8,18.6,9.5,14.6,11.5,5.2,4.9,36.4,27.6,8.3,8.9
4,22.8,10.5,5.9,22.8,7.0,14.2,47.7,7.4,8.2,15.9,9.1
5,61.1,10.3,75.6,10.4,47.6,10.3,36.8,13.5,14.2,57.8,88.5
6,45.3,84.2,36.4,42.2,120.6,97.0,41.0,85.0,34.1,213.8,26.639999999999997
7,98.1,46.2,43.6,37.3,52.3,92.8,52.3,62.3,63.2,52.6,26.639999999999997
8,53.0,115.8,303.2,118.7,70.4,80.5,122.4,74.7,51.2,40.8,26.639999999999997
9,58.9,65.8,103.4,60.5,66.7,71.8,56.9,65.2,90.4,99.3,26.639999999999997
10,29.1,47.8,33.6,35.9,45.8,23.1,22.5,41.0,74.3,94.2,26.639999999999997
11,64.3,12.9,10.8,14.9,12.0,16.5,23.1,4.4,31.5,26.0,26.639999999999997
12,6.2,46.1,3.7,11.6,8.7,22.6,9.2,17.8,16.8,23.8,26.639999999999997
