MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,109.21,91.62,19.51,79.32,37.72,68.12,222.04,51.52,23.73,130.65,99.04
2,20.11,36.5,18.32,52.73,22.4,43.44,17.91,36.91,30.21,8.12,51.82
3,193.91,49.68,59.62,55.74,67.0,10.5,21.23,51.3,83.22,25.01,22.75
4,63.33,40.23,13.12,62.74,18.04,42.15,96.93,11.92,56.74,21.34,18.52
5,194.94,50.32,170.23,15.42,91.84,51.15,191.75,46.62,36.44,58.03,226.92
6,278.1,354.53,209.93,312.21,444.42,318.44,329.12,572.65,77.72,615.62,83.80999999999999
7,345.44,236.22,367.12,169.72,357.14,325.82,327.23,385.45,462.21,535.51,83.80999999999999
8,356.61,487.33,648.54,455.73,305.82,486.42,460.04,312.31,319.02,296.5,83.80999999999999
9,278.73,379.22,405.13,318.72,283.34,295.87,333.33,376.14,346.23,506.41,83.80999999999999
10,81.22,180.33,158.52,250.0,322.02,45.13,110.04,93.92,148.81,212.26,83.80999999999999
11,192.22,79.32,21.12,65.5,48.23,38.04,54.44,13.86,95.43,47.62,83.80999999999999
12,14.74,133.83,14.81,43.11,20.92,55.53,16.32,35.05,94.91,67.83,83.80999999999999
