MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.0,23.0,27.0,24.5,31.5,24.5,26.0,25.5,26.5,25.0,26.0
2,25.5,26.0,27.0,24.5,28.5,26.0,26.5,24.5,27.0,28.0,26.5
3,25.5,27.5,27.0,32.0,28.5,28.0,28.5,28.5,29.0,29.0,28.8
4,28.0,29.0,30.0,28.0,27.5,31.0,29.0,28.0,28.5,31.0,28.0
5,27.0,28.5,30.0,31.5,30.0,27.5,28.0,30.0,27.5,32.0,28.5
6,23.0,25.5,28.0,27.0,26.0,28.0,27.0,25.0,29.0,30.0,27.560000000000002
7,23.5,26.5,24.0,26.0,23.5,25.0,24.0,24.0,24.0,25.5,27.560000000000002
8,25.5,26.5,24.5,23.5,25.0,25.5,31.0,25.5,26.5,24.0,27.560000000000002
9,22.5,23.5,25.0,24.0,24.0,25.0,24.5,22.5,24.5,23.0,27.560000000000002
10,26.0,25.5,26.0,24.5,24.5,25.0,27.0,26.0,29.0,22.0,27.560000000000002
11,22.5,26.5,24.5,26.0,26.0,26.0,21.5,25.0,28.0,27.0,27.560000000000002
12,24.0,26.0,23.5,24.5,25.5,26.0,26.0,23.0,24.5,26.0,27.560000000000002
