MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,15.2,14.9,18.3,13.0,15.5,16.5,17.0,16.5,19.2,17.8,16.1
2,16.3,15.3,20.7,18.6,20.8,17.2,18.7,16.8,18.7,20.7,18.1
3,17.6,20.7,19.1,21.0,19.1,21.4,20.5,19.4,22.1,22.6,22.0
4,22.5,22.6,22.4,21.0,23.1,24.6,22.5,22.9,22.7,23.2,21.2
5,21.7,23.5,23.4,23.2,25.5,22.9,22.7,25.1,23.5,27.8,23.4
6,19.2,20.4,22.2,21.7,22.1,21.6,20.7,20.1,24.8,23.2,20.160000000000004
7,20.5,21.1,20.1,21.6,21.3,22.0,20.5,20.8,21.1,19.9,20.160000000000004
8,21.5,20.8,21.1,20.3,22.6,20.9,20.6,21.0,21.7,20.0,20.160000000000004
9,19.9,20.2,19.5,20.8,21.4,20.3,20.5,18.5,22.4,17.6,20.160000000000004
10,20.0,19.8,19.2,19.7,20.0,20.5,20.7,19.2,19.7,16.0,20.160000000000004
11,17.1,17.7,19.4,17.2,18.6,18.1,17.8,20.3,18.2,21.8,20.160000000000004
12,18.0,18.3,17.0,16.9,18.3,16.1,20.2,16.4,14.2,18.0,20.160000000000004
