MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-2.0,-2.5,-1.0,-3.5,-3.5,0.0,1.0,1.0,-2.0,2.0,-2.0
2,-1.0,-3.0,2.0,1.5,2.0,0.0,-2.5,0.5,-1.0,-1.0,3.5
3,2.5,2.0,1.0,2.5,1.0,3.0,-1.0,-2.0,2.0,3.5,0.0
4,5.0,2.0,2.5,2.0,2.0,5.5,3.0,4.0,3.5,4.0,-0.5
5,5.5,5.0,4.0,4.5,6.0,6.5,5.0,2.5,6.0,8.0,4.5
6,6.0,7.0,6.0,4.0,6.0,6.0,7.5,6.0,6.5,7.0,1.1
7,5.5,6.5,5.0,5.0,5.5,6.5,5.5,6.5,6.0,4.0,1.1
8,5.5,6.0,0.5,4.0,4.5,7.0,2.5,5.0,6.5,6.0,1.1
9,6.0,5.0,3.0,6.0,6.0,6.0,5.0,5.5,6.0,7.5,1.1
10,4.5,5.5,4.0,6.0,7.0,2.5,0.5,2.0,2.0,5.0,1.1
11,5.0,-0.5,0.0,-1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.1
12,2.5,2.0,-4.5,-3.0,-1.5,-3.0,-0.5,-0.5,-4.0,1.5,1.1
