MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.8,35.5,8.5,22.5,14.0,26.0,75.0,52.0,17.5,68.0,22.5
2,7.0,10.2,4.5,6.5,6.5,4.0,75.0,8.0,4.5,14.5,14.5
3,93.0,19.6,18.0,13.5,11.0,4.5,8.0,5.0,33.0,9.5,14.0
4,25.0,36.5,20.5,38.5,3.0,26.5,25.0,3.0,21.5,10.5,16.0
5,21.5,33.5,53.0,1.5,19.0,26.5,107.5,10.5,10.5,4.0,81.0
6,49.5,58.5,22.0,50.0,101.5,87.0,75.0,77.5,19.0,292.0,139.0
7,41.0,23.5,74.0,21.5,15.5,32.0,71.0,26.0,58.5,73.5,47.833333333333336
8,37.5,90.5,320.0,50.5,12.0,44.0,180.0,26.0,69.0,58.5,47.833333333333336
9,51.5,34.8,155.0,26.0,44.0,75.5,51.0,26.0,50.5,51.0,47.833333333333336
10,94.5,36.5,40.0,37.5,46.5,44.5,71.5,26.0,91.5,86.5,47.833333333333336
11,83.5,21.5,14.0,41.5,7.5,42.0,51.0,26.0,22.0,21.0,47.833333333333336
12,2.5,30.5,14.0,8.0,7.5,6.0,7.0,26.0,16.0,21.0,47.833333333333336
