MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,29.0,12.0,6.0,19.0,32.0,23.0,12.0,27.0,8.0,23.0,9.0
2,4.0,3.0,4.0,2.0,12.0,5.0,10.0,4.0,10.0,19.0,13.9
3,41.0,9.0,27.0,24.0,7.0,2.0,2.0,2.0,10.0,4.0,1.0
4,29.0,28.0,0.01,77.0,0.01,30.0,20.0,46.0,47.0,6.0,1.5
5,82.0,44.0,155.0,38.0,3.0,51.0,21.0,18.0,55.0,0.0,49.1
6,36.0,69.0,41.0,23.0,20.0,160.0,36.0,90.0,28.0,102.0,67.0
7,25.0,53.0,26.0,18.0,13.0,9.0,45.0,60.0,51.0,28.380000000000003,23.583333333333332
8,42.0,58.0,84.0,42.0,20.0,70.0,120.0,13.0,41.0,28.380000000000003,23.583333333333332
9,27.0,68.0,74.0,69.0,33.0,80.0,85.0,42.0,4.0,6.5,23.583333333333332
10,65.0,131.0,67.0,142.0,47.0,50.0,45.0,41.0,84.0,51.6,23.583333333333332
11,18.0,42.0,2.0,13.0,5.0,38.0,112.0,59.0,21.0,28.0,23.583333333333332
12,6.0,82.0,9.0,8.0,8.0,10.0,7.0,7.0,16.0,43.7,23.583333333333332
