MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.6,17.1,20.8,16.1,19.3,20.1,19.3,18.5,21.3,19.0,19.4
2,18.6,20.0,23.6,22.4,21.4,20.1,19.7,18.6,20.9,21.5,20.1
3,21.0,23.9,24.1,23.4,21.3,25.0,23.7,21.9,24.8,24.5,26.6
4,26.6,26.4,26.8,24.9,24.6,28.2,26.0,27.0,25.4,27.1,28.5
5,28.0,28.5,27.6,26.9,29.3,28.0,28.3,29.5,27.5,32.2,31.6
6,27.7,28.1,28.6,28.2,29.0,27.6,27.5,28.2,30.0,30.4,25.24
7,27.9,28.3,26.9,28.4,28.7,29.1,27.6,27.6,28.8,26.290000000000003,25.24
8,28.9,28.4,28.5,27.4,30.0,27.9,27.9,28.6,28.3,26.290000000000003,25.24
9,27.9,27.5,26.4,27.6,28.4,26.5,27.2,26.1,29.7,29.9,25.24
10,26.5,25.4,24.4,24.2,25.6,25.0,26.0,23.9,25.5,27.3,25.24
11,23.4,22.3,23.2,20.2,21.4,23.1,21.9,21.9,20.5,26.8,25.24
12,21.4,21.2,19.0,19.4,20.2,18.5,22.1,20.0,19.3,24.2,25.24
