MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,27.5,30.5,34.0,29.0,28.0,30.0,30.0,31.0,31.0,27.5,35.0
2,30.0,33.5,36.0,31.5,32.5,31.0,32.0,34.0,34.0,34.5,32.0
3,32.0,37.0,36.0,34.0,34.0,36.0,37.0,39.5,37.0,36.0,40.0
4,40.0,40.0,42.0,37.5,36.0,40.0,41.5,39.0,38.0,38.0,44.0
5,36.0,37.0,39.5,35.5,38.0,40.0,42.0,38.5,37.0,44.0,43.0
6,36.0,37.0,38.5,35.0,37.0,38.0,36.0,37.0,40.0,42.0,38.8
7,35.5,36.0,34.0,37.0,36.5,38.0,36.0,36.0,37.0,36.5,38.8
8,39.0,37.0,37.0,37.0,38.0,37.0,36.0,39.0,38.0,36.5,38.8
9,35.0,36.0,34.0,35.0,38.0,35.0,33.5,34.5,38.0,37.0,38.8
10,36.0,35.0,33.0,34.0,35.0,33.5,35.0,34.0,39.0,37.0,38.8
11,32.5,32.0,32.0,30.5,31.0,31.0,31.0,32.5,31.0,36.0,38.8
12,32.5,30.0,30.0,31.5,29.5,28.5,31.0,30.0,28.0,33.0,38.8
