MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,8.0,8.0,8.0,6.0,9.0,9.0,9.0,9.0,8.5,6.0,6.0
2,11.0,9.0,11.0,12.0,12.0,12.0,7.0,7.0,9.0,12.0,11.0
3,9.5,12.0,15.5,15.0,10.0,14.0,14.0,10.5,11.0,15.0,15.0
4,13.5,15.0,17.5,15.0,13.0,18.0,14.0,15.5,16.0,17.0,16.0
5,16.0,18.0,16.0,18.0,15.5,20.0,20.0,21.0,17.0,23.5,19.0
6,19.0,20.0,22.0,22.0,20.5,20.0,22.0,21.0,22.0,22.0,13.4
7,22.0,22.0,21.0,21.0,22.0,23.0,21.0,22.0,21.0,16.95,13.4
8,21.0,22.0,22.0,21.0,22.0,20.0,21.0,22.0,21.5,16.95,13.4
9,20.5,21.5,20.0,21.0,21.5,15.5,20.0,18.5,22.0,24.0,13.4
10,19.0,18.0,16.0,14.5,15.0,14.5,16.0,13.0,13.0,20.0,13.4
11,14.5,14.0,10.5,6.0,10.0,15.0,13.0,13.0,12.5,17.0,13.4
12,14.0,9.5,5.0,9.5,11.0,10.0,13.0,4.5,11.5,13.0,13.4
