MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.5,12.6,15.5,11.9,15.4,16.1,16.0,14.2,16.5,15.3,14.9
2,13.9,14.6,17.3,17.9,17.2,16.2,15.2,14.1,15.4,16.3,16.7
3,16.5,18.6,19.1,18.9,17.3,20.1,18.1,15.8,19.0,19.7,19.6
4,21.7,21.0,20.6,20.1,18.2,22.8,20.5,21.0,20.7,21.8,22.2
5,22.8,23.4,22.7,21.9,23.9,22.9,22.9,23.7,22.2,25.8,24.9
6,22.8,23.0,23.6,23.5,24.2,22.9,23.1,22.8,24.7,25.0,19.660000000000004
7,23.2,23.5,23.0,23.3,23.6,24.3,23.3,23.2,23.9,21.08,19.660000000000004
8,23.2,23.5,23.7,22.5,24.2,23.0,23.3,23.4,23.3,21.08,19.660000000000004
9,23.1,22.8,22.4,23.0,23.1,22.2,22.9,22.0,23.6,25.0,19.660000000000004
10,21.5,20.8,20.0,20.5,21.1,19.7,21.5,19.7,21.3,21.9,19.660000000000004
11,19.7,18.3,17.5,16.6,17.4,18.7,17.2,17.9,16.8,21.4,19.660000000000004
12,17.7,17.4,14.1,14.7,16.3,14.3,17.3,15.6,16.0,18.6,19.660000000000004
