MES,2015,2016,2017,2018,2019,2020,2021,2022
1,19.5,18.91,27.37,19.72,34.17,30.93,53.89,68.12
2,30.64,23.46,35.19,31.18,37.9,36.79,41.68,68.12
3,31.28,51.62,41.36,53.16,39.93,36.29,63.73,68.12
4,70.21,71.73,99.87,71.68,99.71,88.07,72.25,68.12
5,79.8,87.4,104.61,112.53,131.93,97.71,80.19,68.12
6,45.31,53.9,91.76,63.19,78.37,72.08,77.81,68.12
7,64.09,73.47,66.12,85.11,77.84,88.24,67.27,68.12
8,54.92,53.12,76.05,49.24,81.91,69.88,49.3,68.12
9,38.95,57.45,40.77,36.6,65.32,72.86,45.59,68.12
10,27.18,28.81,36.71,26.97,76.75,30.58,36.18,68.12
11,42.31,23.43,21.52,20.09,28.0,51.91,51.73,68.12
12,36.21,27.82,40.02,21.19,25.44,45.38,41.25,68.12
