MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,50.0,14.0,12.3,100.0,7.3,51.0,68.1,125.1,25.8,14.5,14.0
2,8.0,6.7,15.0,20.5,41.8,31.5,60.0,40.0,65.0,12.3,22.0
3,25.0,16.2,27.5,14.5,11.0,8.0,14.7,25.7,45.5,17.3,9.0
4,25.5,18.0,28.7,33.0,2.0,22.5,54.7,3.8,43.5,11.1,7.0
5,31.0,5.5,35.5,7.5,14.5,50.0,100.0,8.0,23.5,0.0,29.0
6,32.5,44.0,34.0,29.0,86.5,194.2,81.0,151.0,20.0,147.5,34.0
7,13.0,65.0,64.5,16.0,44.3,82.0,46.9,20.0,24.0,86.5,19.166666666666668
8,35.0,82.6,36.0,67.0,40.1,71.8,61.0,49.5,38.0,25.5,19.166666666666668
9,29.3,36.3,125.0,61.0,164.5,145.7,63.0,62.5,13.0,120.0,19.166666666666668
10,209.3,100.8,89.5,110.0,190.5,125.0,192.0,149.7,73.5,109.9,19.166666666666668
11,104.5,80.0,40.3,27.8,47.0,201.0,162.4,23.0,41.5,86.0,19.166666666666668
12,15.8,21.5,4.5,13.3,16.5,35.5,17.0,33.0,41.0,31.0,19.166666666666668
