MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,128.05,40.44,33.82,199.83,31.57,113.72,194.2,272.14,73.32,50.64,49.26
2,21.15,24.58,22.53,38.73,67.12,74.75,73.21,99.22,132.92,26.51,36.95
3,107.73,66.02,66.23,85.14,48.81,18.02,60.11,60.34,120.31,39.31,19.55
4,66.63,44.43,46.75,85.17,4.13,96.22,103.62,4.84,158.23,24.42,14.5
5,64.73,25.41,88.43,19.82,43.31,114.41,194.74,17.52,34.34,0.0,94.39
6,142.26,177.26,145.3,86.84,403.81,670.02,401.13,356.75,43.03,424.61,194.05
7,57.56,181.62,136.52,63.34,134.25,155.11,121.73,62.03,145.22,214.34,68.11666666666666
8,159.83,177.18,248.67,203.48,114.35,324.39,224.95,111.66,219.64,146.44,68.11666666666666
9,109.33,242.15,667.34,153.29,351.59,666.11,229.33,444.64,45.56,326.08,68.11666666666666
10,449.46,322.68,558.71,462.94,559.15,172.34,610.55,513.81,325.74,422.47,68.11666666666666
11,327.34,237.35,83.94,96.38,119.56,492.62,409.72,116.31,143.53,153.51,68.11666666666666
12,69.62,100.01,18.51,45.14,49.92,75.74,34.52,87.73,193.0,69.02,68.11666666666666
