MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.2,10.8,11.6,9.0,10.4,11.2,11.9,11.1,11.8,13.1,11.9
2,11.2,10.6,13.6,13.9,15.2,13.1,12.9,10.5,11.5,14.5,14.4
3,13.0,16.0,14.0,16.5,14.7,15.8,15.7,14.2,15.4,17.5,17.1
4,16.7,17.6,16.9,17.0,18.3,19.6,17.7,18.0,17.3,18.2,16.4
5,16.8,19.0,19.0,17.5,19.6,18.3,17.9,19.6,18.6,23.0,19.4
6,15.5,16.6,17.6,17.2,17.4,17.1,16.6,15.9,19.8,18.8,17.0
7,16.4,16.5,16.2,16.1,16.0,17.6,16.0,16.1,16.7,17.0,16.03333333333333
8,16.2,16.1,16.4,15.4,17.0,17.0,16.0,16.4,17.4,16.4,16.03333333333333
9,16.2,15.8,15.9,16.0,16.2,16.0,15.8,14.4,17.2,15.1,16.03333333333333
10,15.3,14.1,14.2,14.9,15.2,13.7,15.2,13.6,14.9,12.5,16.03333333333333
11,13.8,12.4,12.2,12.8,13.2,12.3,10.4,13.4,13.1,14.1,16.03333333333333
12,12.7,13.2,10.6,11.1,11.8,10.8,12.6,11.0,10.9,12.8,16.03333333333333
