MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,14.8,16.2,18.2,14.0,15.9,16.4,17.0,15.9,16.7,18.4,17.3
2,16.9,17.1,21.0,20.8,21.6,18.7,19.5,15.8,16.9,22.4,19.9
3,17.9,23.3,20.4,23.1,21.4,22.9,22.8,21.0,21.4,25.2,23.8
4,22.8,25.0,24.0,24.6,26.6,27.3,24.4,25.6,23.5,26.0,23.1
5,23.0,26.5,26.2,25.1,27.5,25.2,24.5,27.6,25.4,31.9,25.2
6,20.5,23.0,24.0,23.4,22.9,23.4,21.7,22.1,27.1,25.9,21.1
7,23.1,23.1,22.5,23.5,22.5,24.6,22.0,22.5,22.6,23.2,21.733333333333334
8,22.6,22.3,22.5,21.7,23.6,23.3,22.3,22.7,23.3,23.0,21.733333333333334
9,21.4,21.3,20.8,21.9,22.2,20.8,21.0,18.4,23.8,17.8,21.733333333333334
10,21.2,19.5,19.0,19.2,20.0,19.9,20.5,17.7,19.3,15.4,21.733333333333334
11,18.4,16.7,18.5,18.0,17.8,17.1,14.8,17.6,17.5,19.4,21.733333333333334
12,17.8,18.4,16.7,16.1,17.2,15.8,18.4,15.7,15.1,18.1,21.733333333333334
