MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,2.0,0.0,1.0,-1.0,-1.0,1.0,2.0,2.0,0.0,3.0,0.0
2,0.0,0.0,3.0,2.0,3.0,0.0,0.0,-2.0,0.0,1.0,5.0
3,4.0,5.0,3.0,6.0,4.0,3.0,2.0,2.0,4.0,6.0,5.0
4,7.0,5.0,6.0,2.0,5.0,8.0,5.0,5.0,3.0,5.0,3.0
5,7.0,7.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,9.0,7.0
6,8.0,7.0,8.0,8.0,8.0,7.0,10.0,7.0,9.0,9.0,10.0
7,7.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,5.0
8,4.0,7.0,8.0,7.0,7.0,9.0,6.0,7.0,7.0,8.0,5.0
9,9.0,7.0,5.0,8.0,7.0,5.0,8.0,7.0,6.0,10.0,5.0
10,6.0,5.0,4.0,8.0,7.0,4.0,6.0,4.0,4.0,3.0,5.0
11,5.0,4.0,1.0,-2.0,5.0,5.0,3.0,6.0,4.0,3.0,5.0
12,4.0,4.0,-3.0,-1.0,0.0,2.0,4.0,3.0,0.0,3.0,5.0
