MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.6,5.3,5.1,4.0,5.0,6.1,6.9,6.3,6.9,7.9,6.6
2,5.5,4.0,6.1,7.1,8.9,7.5,6.3,5.2,6.2,6.6,9.0
3,8.1,8.8,7.7,9.8,8.0,8.6,8.5,7.5,9.5,9.8,10.5
4,10.6,10.2,9.8,9.4,10.0,11.9,11.0,10.3,11.1,10.4,9.6
5,10.6,11.5,11.7,9.8,11.7,11.4,11.2,11.5,11.9,14.2,13.7
6,10.5,10.1,11.1,11.0,11.8,10.8,11.6,9.7,12.5,11.7,13.0
7,9.7,9.9,10.0,8.8,9.5,10.6,10.0,9.8,10.8,10.8,10.4
8,9.8,10.0,10.3,9.2,10.4,10.7,9.8,10.0,11.6,9.7,10.4
9,11.0,10.2,11.1,10.1,10.2,11.3,10.6,10.5,10.6,12.4,10.4
10,9.5,8.7,9.5,10.7,10.5,7.5,9.9,9.4,10.5,9.6,10.4
11,9.1,8.2,5.8,7.5,8.6,7.5,5.9,9.1,8.7,8.9,10.4
12,7.5,8.0,4.5,6.1,6.4,5.8,6.9,6.3,6.7,7.4,10.4
